"";"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com";"Period";"RCA_field";"Category";"Category2"
"78";"32";"Other Manufacturing";1,7339612601858;1,44851325183767;1,00414321966364;0,629886497996606;0;24;29;0;0;"Period 1 (1974-1988)";91,5941775006565;"Other";4
"79";"32.5";"Manufacture of medical and dental instruments and supplies";2,08124480389356;1,2079510221485;0,381364860149674;0,628051664845262;0,418660623556482;41;41;0;0;"Period 1 (1974-1988)";92,1145284405234;"Other";4
"80";"32.9";"Manufacturing N.E.C.";1,47215373000841;0,719705379838956;0,395913218451435;0,797213054529999;0,510213997399816;43;0;0;0;"Period 1 (1974-1988)";94,2727267898626;"Surrounding codes";3
"81";"42.2";"Construction of Utility Projects";1,06070811604611;1,89564312542031;0,789990483104674;0,581629443098492;0;44;40;0;0;"Period 1 (1974-1988)";98,616763279004;"Other";4
"82";"42.91";"Construction of Water Projects";0,801761625494135;1,27891116853784;1,11308972996923;0,957483979249923;0;0;37;0;0;"Period 1 (1974-1988)";95,9334685800221;"Other";4
"83";"43";"Specialised Construction Activities";0,792880970765869;0,841822441054325;0,430553239675802;0,74228804380431;0;0;0;0;0;"Period 1 (1974-1988)";91,5195922019957;"Other";4
"84";"62";"Computer Programming, Consultancy and Related Activities";0,588940268820329;0;0;1,41689970575787;50,5346393962332;0;0;0;41;"Period 1 (1974-1988)";62,8143779044722;"AI-core codes";1
"85";"10";"Manufacture of Food Products";0,763426488804799;5,14651198907534;1,66398468221846;0,695718161773271;0,0233321745687506;0;61;54;0;"Period 2 (1989-2003)";89,5576958680554;"Other";4
"86";"10.5";"Manufacture of Dairy Products";0,619030643982149;0,0197813285642505;0,105706008209065;0,14205673206256;0,595657420038187;0;0;0;0;"Period 2 (1989-2003)";100;"Other";4
"87";"11";"Manufacture of Beverages";0,277882787061624;11,7952772525251;1,62043492863189;0,394832680995297;0;0;53;56;0;"Period 2 (1989-2003)";98,1538023330771;"Other";4
"88";"12";"Manufacture of Tobacco Products";1,38927702558487;5,56084867772153;1,09912590884052;0,428622465917187;0,442488369171225;62;57;50;0;"Period 2 (1989-2003)";96,741345740768;"Other";4
"89";"13";"Manufacture of Textiles";0,830143165009751;1,80129364169252;1,11411269893829;0,95864320659892;0,0882715594946528;58;59;0;0;"Period 2 (1989-2003)";96,7221991746;"Other";4
"90";"14";"Manufacture of Wearing Apparel";1,78621167637838;1,03405157093468;0,732090093594892;0,767038872009846;0;57;53;0;0;"Period 2 (1989-2003)";91,3756443183777;"Other";4
"91";"15";"Manufacture of Leather and Related Products";1,45448330631349;1,28272179874347;1,08569386645729;0,499801096222048;0;59;59;56;0;"Period 2 (1989-2003)";92,0246761089864;"Other";4
"92";"16";"Manufacture of Wood and of Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials";0,41988944365108;2,69444304057274;0,588168565434375;0,799028656495636;0;0;57;0;0;"Period 2 (1989-2003)";96,6062322172064;"Other";4
"93";"17";"Manufacture of Paper and Paper Products";1,08689484443946;1,80304564457811;0,552159899074359;0,825874959837447;0,1122870380291;58;57;0;0;"Period 2 (1989-2003)";91,6168211393329;"Other";4
"94";"18.1";"Printing and Service Activities Related to Printing";0,620621910105788;0,578177049459859;0,40955775237163;1,33501520531613;0,0252692586031414;0;0;0;59;"Period 2 (1989-2003)";90,3315620473103;"Other";4
"95";"19";"Manufacture of Coke and Refined Petroleum Products";1,76662705486399;6,42271659349417;0,544222269529557;0,419445148708596;0,264767844549191;57;61;0;0;"Period 2 (1989-2003)";92,7378847149239;"Other";4
"96";"20.1";"Manufacture of Basic Chemicals, Fertilisers and Nitrogen Compounds, Plastics and Synthetic Rubber in Primary Forms";0,890457872250956;1,96155915170076;0,790358256536332;0,969077562627647;0,0896270873023576;0;58;0;0;"Period 2 (1989-2003)";84,4971271180362;"Other";4
"97";"20.2";"Manufacture of pesticides and other agrochemical products";1,10062450240881;5,22142564802934;0,428871422938368;0,701706443783484;0;53;61;0;0;"Period 2 (1989-2003)";92,0852568537864;"Other";4
"98";"20.3";"Manufacture of Paints, Varnishes and Similar Coatings, Printing Ink and Mastics";0,739118525025121;2,57730342733506;0,680059473085408;1,08766598572457;0;0;55;0;61;"Period 2 (1989-2003)";92,8184954352637;"Other";4
"99";"20.4";"Manufacture of Soap and Detergents, Cleaning and Polishing Preparations, Perfumes and Toilet Preparations";1,1941059841385;1,15064871020728;0,964353257321599;0,771505725361217;0;57;0;61;0;"Period 2 (1989-2003)";88,8369655925721;"Other";4
"100";"20.42";"Manufacture of Perfumes and Toilet Preparations";1,05273228986312;0,0808977693629381;0,987074834660377;0,903061014091134;0;57;0;59;0;"Period 2 (1989-2003)";84,8497354495925;"Other";4
"101";"20.5";"Manufacture of Other Chemical Products";1,02005858626421;2,07995298898105;0,475708625997208;0,970436206538474;0,0221231106884713;65;57;0;0;"Period 2 (1989-2003)";92,9787296407191;"Other";4
"102";"20.51";"Manufacture of Explosives";1,75343276397251;1,23818678733788;0,383029832244859;0,2631638706438;0,417752483219043;61;60;0;0;"Period 2 (1989-2003)";94,8233503856089;"Other";4
"103";"20.6";"Manufacture of Man-Made Fibres";0,637724068251111;1,57665864036184;1,73451630705839;1,18157787458244;0;0;58;59;53;"Period 2 (1989-2003)";86,0185745631414;"Other";4
"104";"21";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations";1,93795890586098;4,35349635562186;0,671594718603663;0,430212062729154;0,0740398441656435;61;55;55;0;"Period 2 (1989-2003)";79,9490184841907;"Other";4
"105";"22";"Manufacture of Rubber and Plastic Products";0,799982430759388;0,628894632064064;0,674919490466262;1,08982521729834;0,204776131103746;0;0;0;57;"Period 2 (1989-2003)";85,9690659552882;"Other";4
"106";"22.1";"Manufacture of Rubber Products";1,68418137274646;1,16828629797219;0,476896013971925;0,68075764585016;0;57;56;0;0;"Period 2 (1989-2003)";99,1273896192804;"Other";4
"107";"22.2";"Manufacture of Plastics Products";0,62752350055926;0,648983596198583;1,07551613221308;1,04832028091676;0,123685199027537;0;0;0;54;"Period 2 (1989-2003)";94,8595417790172;"Other";4
