"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"GI";0,142559833506764;0,0769230769230769;3,407;3,7;"2nd"
"GL";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"GM";0,375;0,333333333333333;1,5;1,585;"2nd"
"GN";0,137777777777778;0,111111111111111;3,006;3,17;"2nd"
"GP";0,26530612244898;0,2;2,128;2,322;"2nd"
"GQ";1;1;0;0;"2nd"
"GR";0,0337679284191411;0,0238095238095238;5,373;5,392;"2nd"
"GT";0,0615877536489854;0,0555555555555556;4,353;4,17;"2nd"
"GU";0,14;0,125;2,922;3;"2nd"
"GY";0,224489795918367;0,2;2,236;2,322;"2nd"
"HK";0,0437228661164412;0,0357142857142857;5,077;4,807;"2nd"
"HN";0,148760330578512;0,0833333333333333;3,234;3,585;"2nd"
"HR";0,0534594619460441;0,0256410256410256;5,009;5,285;"2nd"
"HT";1;1;0;0;"2nd"
"HU";0,0871514586315476;0,0333333333333333;4,624;4,907;"2nd"
"IB";1;1;0;0;"2nd"
"ID";0,060555712500419;0,032258064516129;4,816;4,954;"2nd"
"IE";0,0509129444869157;0,04;4,924;4,644;"2nd"
"IL";0,0784040951102286;0,0625;4,504;4;"2nd"
"IN";0,114894575929909;0,0476190476190476;4,351;4,392;"2nd"
"IO";0,5;0,5;1;1;"2nd"
"IQ";0,234567901234568;0,166666666666667;2,288;2,585;"2nd"
"IR";0,0493033590676688;0,0357142857142857;4,935;4,807;"2nd"
"IS";0,0730432262094245;0,0434782608695652;4,459;4,524;"2nd"
"IT";0,0368433874292896;0,0212765957446809;5,351;5,555;"2nd"
"JA";0,3203125;0,25;1,764;2;"2nd"
"JE";0,2;0,2;2,322;2,322;"2nd"
"JM";0,0673828125;0,0588235294117647;4,142;4,087;"2nd"
"JO";0,165641737750446;0,0714285714285714;3,752;3,807;"2nd"
"JP";0,039839624442587;0,024390243902439;5,239;5,358;"2nd"
"KE";0,0787706611570248;0,0476190476190476;4,151;4,392;"2nd"
"KG";0,0974013092640349;0,0526315789473684;4,098;4,248;"2nd"
"KH";0,183673469387755;0,166666666666667;2,522;2,585;"2nd"
"KI";0,214285714285714;0,166666666666667;2,496;2,585;"2nd"
"KM";1;1;0;0;"2nd"
"KN";0,1171875;0,111111111111111;3,125;3,17;"2nd"
"KP";0,0578637608530971;0,0454545454545455;4,436;4,459;"2nd"
"KR";0,0647744656558115;0,0454545454545455;4,795;4,459;"2nd"
"KW";0,0516528925619835;0,0384615384615385;4,652;4,7;"2nd"
"KY";0,132134363852556;0,0666666666666667;3,672;3,907;"2nd"
"KZ";0,0797621878715814;0,0476190476190476;4,428;4,392;"2nd"
"LA";0,306122448979592;0,25;1,842;2;"2nd"
"LB";0,0484627867198807;0,0384615384615385;4,858;4,7;"2nd"
