"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"BH";"11";0;NA;"1974-1988"
"BH";"12";0;NA;"1974-1988"
"BH";"13";0;NA;"1974-1988"
"BH";"14";0;NA;"1974-1988"
"BH";"15";0;NA;"1974-1988"
"BH";"16";0;NA;"1974-1988"
"BH";"17";0;NA;"1974-1988"
"BH";"18";0;NA;"1974-1988"
"BH";"19";0;NA;"1974-1988"
"BH";"2";0;NA;"1974-1988"
"BH";"20";0;NA;"1974-1988"
"BH";"21";0;NA;"1974-1988"
"BH";"22";0;NA;"1974-1988"
"BH";"23";0;NA;"1974-1988"
"BH";"24";0;NA;"1974-1988"
"BH";"25";0;NA;"1974-1988"
"BH";"26";0;NA;"1974-1988"
"BH";"27";0;NA;"1974-1988"
"BH";"28";0;NA;"1974-1988"
"BH";"29";0;NA;"1974-1988"
"BH";"3";0;NA;"1974-1988"
"BH";"30";0;NA;"1974-1988"
"BH";"31";0;NA;"1974-1988"
"BH";"32";0;NA;"1974-1988"
"BH";"33";0;NA;"1974-1988"
"BH";"34";0;NA;"1974-1988"
"BH";"35";0;NA;"1974-1988"
"BH";"4";0;NA;"1974-1988"
"BH";"5";0;NA;"1974-1988"
"BH";"6";0;NA;"1974-1988"
"BH";"7";0;NA;"1974-1988"
"BH";"8";0;NA;"1974-1988"
"BH";"9";0;NA;"1974-1988"
