"name";"sector";"field_name";"dgr";"RCA";"n_neighbors";"weighted_degree";"triangles";"centrality_authority";"centrality_betweenness";"centrality_closeness";"centrality_eigen";"centrality_hub";"centrality_subgraph";"centrality_degree";"centrality_closeness_harmonic";"centrality_closeness_residual";"centrality_betweenness_network";"Country";"Period"
"28";"Mechanical engineering";"Textile and paper machines";0,631293660296679;1;5;0,543478260869565;8;0,486640639610217;0,616666666666667;0,0333333333333333;0,486640639610218;0,486640639610217;147,146750859752;5;214,090290647086;16,0778582075847;52;"JP";"1st"
"3";"Electrical engineering";"Telecommunications";0,782200686442446;1;10;1,19047619047619;29;0,894985437633975;6,74835164835165;0,0454545454545455;0,894985437633975;0,894985437633975;491,476840218672;10;254,229674144336;16,2218339064862;114;"JP";"1st"
"30";"Mechanical engineering";"Thermal processes and apparatus";0,508365159125903;1;3;0,391304347826087;3;0,195038075946089;0;0,03125;0,19503807594609;0,195038075946089;27,6809663616233;3;170,887216462165;15,9266227672633;52;"JP";"1st"
"4";"Electrical engineering";"Digital communication";0,719342947355325;1;7;0,80327868852459;17;0,657920575334744;1,35119047619048;0,037037037037037;0,657920575334744;0,657920575334744;268,563399636385;7;205,667496553939;16,0523886078474;78;"JP";"1st"
"5";"Electrical engineering";"Basic communication processes";0,375745962273333;1;7;0,680555555555555;18;0,733444483502182;0,88003663003663;0,04;0,733444483502183;0,733444483502182;329,546982452834;7;257,530034244304;16,2523380905708;46;"JP";"1st"
"6";"Electrical engineering";"Computer technology";1;1;11;1,31521739130435;34;0,977079574256929;9,2717032967033;0,0476190476190476;0,97707957425693;0,977079574256929;584,205449729158;11;253,704782466049;16,2322437721756;122;"JP";"1st"
"7";"Electrical engineering";"IT methods for management";0,56611153069172;1;4;0,457142857142857;6;0,376773557232835;0;0,0303030303030303;0,376773557232835;0,376773557232835;90,6997194856775;4;180,94630967216;15,9257299614816;48;"JP";"1st"
"8";"Electrical engineering";"Semiconductors";0,804458877711261;1;9;1,05194805194805;22;0,782789069001253;5,58507326007326;0,0434782608695652;0,782789069001254;0,782789069001253;377,349358688747;9;230,548687580697;16,1242804249497;104;"JP";"1st"
"9";"Instruments";"Optics";0,839329872543788;1;8;0,842105263157895;21;0,773834839953294;2,31428571428571;0,0416666666666667;0,773834839953294;0,773834839953294;367,232075100773;8;212,107519821833;16,1091071562875;72;"JP";"1st"
"14";"Chemistry";"Organic fine chemistry";0,913055192352813;1;6;1,09090909090909;10;0,844148213733628;5,06666666666667;0,0434782608695652;0,844148213733628;0,844148213733628;29,8997511869513;6;162,677006194381;13,1385810789403;46;"KR";"1st"
"15";"Chemistry";"Biotechnology";0,73804073496023;1;4;0,695652173913043;6;0,60010911084945;0;0,0357142857142857;0,600109110849449;0,60010911084945;16,9176679128557;4;119,841809309554;12,928889294267;32;"KR";"1st"
"16";"Chemistry";"Pharmaceuticals";0,825184952224349;1;5;0,892857142857143;8;0,728795298298872;0,666666666666667;0,037037037037037;0,728795298298872;0,728795298298872;23,3970237918426;5;181,433964762017;13,1809569516356;44;"KR";"1st"
"17";"Chemistry";"Macromolecular chemistry, polymers";0,819515870744441;1;6;1,09090909090909;8;0,809109192587739;6,3;0,0476190476190476;0,809109192587738;0,809109192587739;27,0271444790274;6;205,149238219409;13,2945109784979;88;"KR";"1st"
"18";"Chemistry";"Food chemistry";0,491254405676304;1;4;0,695652173913043;6;0,60010911084945;0;0,0357142857142857;0,60010911084945;0,60010911084945;16,9176679128557;4;152,341167426438;13,0902873224732;32;"KR";"1st"
"19";"Chemistry";"Basic materials chemistry ";0,937783415668036;1;8;1,64102564102564;13;1;19,6333333333333;0,0526315789473684;1;1;40,4762350228297;8;200,2394676152;13,2928683190069;116;"KR";"1st"
"2";"Electrical engineering";"Audio-visual technology";0,900540792337974;1;6;1,5;6;0,404569382480484;10,5;0,0434782608695652;0,404569382480485;0,404569382480484;15,4636830348078;6;175,919168424157;13,1791207130159;136;"KR";"1st"
"20";"Chemistry";"Materials, metallurgy";0,822063644870517;1;3;0,45;3;0,479320167720633;0;0,0384615384615385;0,479320167720633;0,479320167720633;10,7577981840537;3;176,555703428666;13,1945311031516;10;"KR";"1st"
"28";"Mechanical engineering";"Textile and paper machines";0,631293660296679;1;5;0,961538461538461;3;0,500591627388718;16,9666666666667;0,0476190476190476;0,500591627388718;0,500591627388718;13,7274293607659;5;174,766561121732;13,2633488367563;152;"KR";"1st"
"3";"Electrical engineering";"Telecommunications";0,782200686442446;1;4;0,888888888888889;4;0,261989229343144;2,03333333333333;0,037037037037037;0,261989229343144;0,261989229343144;9,60821633079178;4;109,631382428726;12,8888484788462;42;"KR";"1st"
"34";"Other fields";"Other consumer goods";0,499188367155627;1;2;0,363636363636364;1;0,171190154519037;0;0,0344827586206897;0,171190154519037;0,171190154519037;4,10104396744531;2;134,677697425138;12,9530517430061;2;"KR";"1st"
"4";"Electrical engineering";"Digital communication";0,719342947355325;1;3;0,642857142857143;3;0,182371757946327;0;0,0303030303030303;0,182371757946327;0,182371757946327;6,90136428644179;3;107,569738768909;12,8406253549891;38;"KR";"1st"
"5";"Electrical engineering";"Basic communication processes";0,375745962273333;1;4;0,842105263157895;4;0,297724673381084;3,96666666666667;0,04;0,297724673381084;0,297724673381084;9,83406290849867;4;162,901078337228;13,2308680983841;76;"KR";"1st"
"8";"Electrical engineering";"Semiconductors";0,804458877711261;1;6;1,09090909090909;6;0,725276784711185;18,8666666666667;0,05;0,725276784711185;0,725276784711185;22,8187447191194;6;209,215257376644;13,3166965962022;148;"KR";"1st"
"11";"Instruments";"Analysis of biological materials";0,509565551367599;1;3;0,45;3;0,41600745165361;0;0,0357142857142857;0,416007451653609;0,41600745165361;12,7173601975801;3;118,926981795046;12,8151875888575;20;"CN";"2nd"
"13";"Instruments";"Medical technology";0,61134409234727;1;4;0,727272727272727;1;0,417236555854264;7,21666666666667;0,0434782608695652;0,417236555854263;0,417236555854264;12,5541879409931;4;182,585526553463;13,1783761260319;60;"CN";"2nd"
"14";"Chemistry";"Organic fine chemistry";0,913055192352813;1;7;1,225;12;0,868689766045749;5,57380952380952;0,0476190476190476;0,868689766045749;0,868689766045749;46,1962746150806;7;143,56625530081;12,9990623750935;64;"CN";"2nd"
"15";"Chemistry";"Biotechnology";0,73804073496023;1;6;1,02857142857143;9;0,747954871500396;4,2047619047619;0,0454545454545455;0,747954871500396;0,747954871500396;35,1830219201926;6;157,079605294899;13,1275978914624;56;"CN";"2nd"
"16";"Chemistry";"Pharmaceuticals";0,825184952224349;1;7;1,32432432432432;10;0,812210528175439;9,32142857142857;0,0476190476190476;0,812210528175437;0,812210528175439;41,2026407684359;7;193,588929751443;13,2790575902385;78;"CN";"2nd"
"17";"Chemistry";"Macromolecular chemistry, polymers";0,819515870744441;1;5;0,714285714285714;7;0,704909422015605;2,68809523809524;0,0454545454545455;0,704909422015604;0,704909422015605;30,3934693248564;5;193,238888868773;13,268849253153;24;"CN";"2nd"
"18";"Chemistry";"Food chemistry";0,491254405676304;1;4;0,571428571428571;6;0,58728462681198;0;0,04;0,58728462681198;0,58728462681198;22,6440333297707;4;154,705232869938;13,1076812864037;20;"CN";"2nd"
"19";"Chemistry";"Basic materials chemistry ";0,937783415668036;1;8;1,33333333333333;15;1;9,67380952380952;0,0526315789473684;1;1;59,1764771180484;8;201,213611736367;13,2958472162077;64;"CN";"2nd"
"20";"Chemistry";"Materials, metallurgy";0,822063644870517;1;6;1,16129032258065;7;0,6312367762536;13,9833333333333;0,0476190476190476;0,6312367762536;0,6312367762536;27,2397575356651;6;167,681404031344;13,2282609215121;70;"CN";"2nd"
"22";"Chemistry";"Micro-structural and nano-technology";0,345557333422115;1;1;0,166666666666667;0;0,108116451892793;0;0,0303030303030303;0,108116451892793;0,108116451892793;2,26870001414628;1;76,800077815285;12,4919276325697;0;"CN";"2nd"
"23";"Chemistry";"Chemical engineering";0,905932653162935;1;7;1,225;10;0,803469234707517;8,91904761904762;0,0526315789473684;0,803469234707516;0,803469234707517;40,5801964404572;7;177,76879698818;13,2165256280952;68;"CN";"2nd"
"24";"Chemistry";"Environmental technology";0,670437107790336;1;6;1,02857142857143;7;0,682734340162164;7,31904761904762;0,05;0,682734340162163;0,682734340162164;30,2392753897213;6;185,784071006742;13,217975209279;60;"CN";"2nd"
"30";"Mechanical engineering";"Thermal processes and apparatus";0,508365159125903;1;4;0,761904761904762;3;0,386239882847279;4,66666666666667;0,04;0,386239882847279;0,386239882847279;12,7820880186465;4;143,440059716158;13,0440638473513;70;"CN";"2nd"
"34";"Other fields";"Other consumer goods";0,499188367155627;1;2;0,5;0;0,137617174727108;0,433333333333333;0,032258064516129;0,137617174727108;0,137617174727108;3,41857070057064;2;130,984764667942;12,9309893666041;38;"CN";"2nd"
"10";"Instruments";"Measurement";0,911855932738176;1;10;2,04081632653061;12;0,945189464325245;46,5238095238095;0,05;0,945189464325245;0,945189464325245;59,5401231550264;10;252,097385410098;15,19467188808;254;"US";"2nd"
"11";"Instruments";"Analysis of biological materials";0,509565551367599;1;4;0,727272727272727;4;0,276252344576716;4,10238095238095;0,0344827586206897;0,276252344576715;0,276252344576716;11,1510243516797;4;111,914090878098;14,3346876289359;60;"US";"2nd"
