"";"MORc(Surrounding_3rd, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"TW";76,1284751190447;76,1284751190447;108130;2526282,28776473;3317474,43938497
"TX";93,2025436598146;93,2025436598146;1;3892557;3594819,95881293
"TZ";42,7682009451475;42,7682009451475;4;2733828,75;3477608,370629
"UA";53,6617852143622;53,6617852143622;2020;2260773,13069307;3283686,12034343
"UD";0;0;1;1755945;2848430,47980603
"UG";30,1866888967675;30,1866888967675;6;1734364,16666667;3207887,12768897
"UK";47,9221632146393;47,9221632146393;43;2305684,72093023;3305732,8866616
"UM";0;0;1;1755945;2848430,47980603
"UR";0;0;1;1755945;2848430,47980603
"US";51,0582314425588;51,0582314425588;1975543;2146183,11374999;3243504,05972694
"UT";0;0;1;1755945;2848430,47980603
"UY";36,5374594606552;36,5374594606552;107;1930708,28971963;3100138,31262839
"UZ";25,2393590016537;25,2393590016537;96;2064908,76041667;3114625,83443332
"VA";54,1886853266295;54,1886853266295;4;2068457,5;3271572,55940559
"VE";51,3618765482649;51,3618765482649;134;2234166,15671642;3260797,24017238
"VG";50,7939594273588;50,7939594273588;162;2379666,50617284;3374504,78741811
"VI";64,8412345593344;64,8412345593344;1;1615064;3117233,74933687
"VN";62,2700188189911;62,2700188189911;637;2427737,01255887;3318917,20464527
"WA";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"WF";62,9783766867959;62,9783766867959;2;2155590;3265259,32352557
"WS";56,2743424032147;56,2743424032147;63;2090752,42857143;3336844,51723485
"XK";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"XN";45,3989939664631;45,3989939664631;2;1981325;3277885,79528561
"YE";62,1350291065431;62,1350291065431;3;3180353;3346023,46581063
"YS";25,9567533735918;25,9567533735918;1;2347586;3438537,84123436
"YU";29,9388005899192;29,9388005899192;33;1999108,15151515;3059344,35115393
"ZA";52,9235017398713;52,9235017398713;4985;1963973,02688064;3283536,3694699
"ZJ";100;100;1;1963594;3091980,80581678
"ZM";83,7487739596545;83,7487739596545;3;3133392,66666667;3435624,55565425
"ZW";30,8454632779955;30,8454632779955;9;1710670,66666667;3072530,03713908
"ZZ";93,2025436598146;93,2025436598146;1;3892557;3594819,95881293
