"";"MORc(mat_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"SI";88,8709362485922;88,8709362485922;4;53;11,5235570398034
"SK";84,7319077604378;84,7319077604378;7;53,8571428571429;12,2527253456109
"SL";93,1874885181124;93,1874885181124;5;64,2;11,6976538606986
"SM";89,1223607408057;89,1223607408057;10;56;12,0613158465853
"SN";78,3007700765803;78,3007700765803;6;46,6666666666667;11,5446081464574
"SR";76,8037537408066;76,8037537408066;1;49;10,5918367346939
"ST";92,9348423581921;92,9348423581921;12;54,6666666666667;12,0391464709582
"SU";92,3393467255191;92,3393467255191;14;52,7857142857143;11,9886758479427
"SV";83,325906826892;83,325906826892;10;47,9;11,9719036369238
"SY";70,3138541239441;70,3138541239441;7;53;11,019560761973
"SZ";90,9207946861812;90,9207946861812;2;43,5;10,8796296296296
"TD";80,3609624117376;80,3609624117376;6;59,1666666666667;11,1498010156966
"TH";87,0185103853145;87,0185103853145;15;51,3333333333333;12,2717376067302
"TN";91,7031789831811;91,7031789831811;10;55,2;12,1804616667598
"TP";22,3330336382142;22,3330336382142;1;10;11,5
"TR";87,0976482114222;87,0976482114222;13;49,8461538461538;12,5657149657346
"TS";94,0508717295374;94,0508717295374;1;66;12,530303030303
"TT";96,4035778694513;96,4035778694513;8;62,5;12,0601716543685
"TW";84,1718941628251;84,1718941628251;10;55,6;11,7113857327505
"TZ";87,8301240241853;87,8301240241853;5;50;11,7795724519782
"UA";94,5425111145859;94,5425111145859;1;84;11,5357142857143
"UG";57,2349020908953;57,2349020908953;3;45,6666666666667;10,0885369073002
"UK";94,419772351038;94,419772351038;11;58,4545454545455;12,2508174589417
"US";96,6190412913248;96,6190412913248;18;59,0555555555556;12,6876014426181
"UY";89,7536482265092;89,7536482265092;13;54;12,4810770097815
"VA";96,3420083515059;96,3420083515059;4;52,5;12,0574828025648
"VE";96,6708960689869;96,6708960689869;3;71,3333333333333;11,8634227884702
"VG";97,0229023217084;97,0229023217084;2;69;12,4371848739496
"VN";45,7078165110229;45,7078165110229;4;36;10,0536098585776
"WS";36,7594530556389;36,7594530556389;2;21,5;10,1317733990148
"XA";95,0930981941722;95,0930981941722;1;60;11,5
"YE";97,1987629651134;97,1987629651134;2;63;12,2492439516129
"YU";94,6193689701098;94,6193689701098;13;58,6923076923077;12,4996806845499
"ZA";96,0558280092198;96,0558280092198;15;65;12,2966257298645
"ZR";79,1119719704687;79,1119719704687;2;56,5;11,5782019704433
"ZW";93,8046955487464;93,8046955487464;14;58,1428571428571;12,0204733130898
