"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"US";11;1,99928744621505;1,6177530635362;"1989-2003";"Analysis of biological materials";1;1;2
"US";12;1,02826737814042;1,01029001079402;"1989-2003";"Control";1;1;2
"US";13;2,22594171754139;1,57549831933936;"1989-2003";"Medical technology";1;1;2
"US";14;1,46576347304845;0;"1989-2003";"Organic fine chemistry";1;0;1
"US";15;2,16276324046797;1,81997219647822;"1989-2003";"Biotechnology";1;1;2
"US";16;1,8903751087803;3,63994439295644;"1989-2003";"Pharmaceuticals";1;1;2
"US";17;0,893217009964288;0;"1989-2003";"Macromolecular chemistry, polymers";0;0;0
"US";18;0,691391052506136;0;"1989-2003";"Food chemistry";0;0;0
"US";19;0,997704045262036;0,330904035723313;"1989-2003";"Basic materials chemistry ";0;0;0
"US";2;0,688188419112875;1,11998289014044;"1989-2003";"Audio-visual technology";0;1;1
"US";20;0,518878144790933;0,115553790252585;"1989-2003";"Materials, metallurgy";0;0;0
"US";21;0,808885275784872;0,779988084204952;"1989-2003";"Surface technology, coating";0;0;0
"US";22;1,41890280350605;0;"1989-2003";"Micro-structural and nano-technology";1;0;1
"US";23;1,10783003523511;0,796237835959221;"1989-2003";"Chemical engineering";1;0;1
"US";24;0,717047990942616;0,545991658943466;"1989-2003";"Environmental technology";0;0;0
"US";25;0,83778424044336;1,0224562901563;"1989-2003";"Handling";0;1;1
"US";26;0,812498782002366;0,454993049119555;"1989-2003";"Machine tools";0;0;0
"US";27;0,776298221602511;1,27054662773008;"1989-2003";"Engines, pumps, turbines";0;1;1
"US";28;0,587513771838777;0,661808071446626;"1989-2003";"Textile and paper machines";0;0;0
"US";29;0,956458649116425;0,954739512906608;"1989-2003";"Other special machines";0;0;0
"US";3;1,00444103225195;0,81980729571091;"1989-2003";"Telecommunications";1;0;1
"US";30;0,519015081081299;0,496356053584969;"1989-2003";"Thermal processes and apparatus";0;0;0
"US";31;0,844137733412242;0,636990268767377;"1989-2003";"Mechanical elements";0;0;0
