"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"MD2";35;34;35;34;"3rd"
"ME1";35;37;35;37;"3rd"
"MG2";30;28;30;28;"3rd"
"MH1";11;9;11;9;"3rd"
"MI";NA;NA;NA;NA;"3rd"
"MK1";39;36;39;36;"3rd"
"ML2";16;18;16;18;"3rd"
"MM1";12;11;12;11;"3rd"
"MN2";41;42;41;42;"3rd"
"MO2";43;46;43;44;"3rd"
"MQ1";NA;NA;NA;NA;"3rd"
"MR2";NA;NA;NA;NA;"3rd"
"MS1";0;0;0;0;"3rd"
"MT2";36;35;36;35;"3rd"
"MU2";33;31;33;31;"3rd"
"MV1";NA;NA;NA;NA;"3rd"
"MW2";2;2;2;2;"3rd"
"MX2";63;63;63;62;"3rd"
"MY2";19;21;19;21;"3rd"
"MZ";0;0;0;0;"3rd"
"NC2";30;29;30;30;"3rd"
"NE1";20;21;20;21;"3rd"
"NF1";NA;NA;NA;NA;"3rd"
"NG2";34;33;34;33;"3rd"
"NH";NA;NA;NA;NA;"3rd"
"NI1";20;17;21;18;"3rd"
"NJ";NA;NA;NA;NA;"3rd"
"NL2";33;29;33;29;"3rd"
"NO2";31;29;31;29;"3rd"
"NP1";28;31;28;32;"3rd"
"NY";14;12;14;12;"3rd"
"NZ2";33;29;33;29;"3rd"
"OA1";NA;NA;NA;NA;"3rd"
"OH";0;0;0;0;"3rd"
"OM1";24;24;24;24;"3rd"
"ON";0;0;0;0;"3rd"
"OR";NA;NA;NA;NA;"3rd"
"OT";NA;NA;NA;NA;"3rd"
"PA2";32;29;32;29;"3rd"
"PE2";39;37;39;37;"3rd"
"PF1";10;9;10;10;"3rd"
"PG1";NA;NA;NA;NA;"3rd"
"PH2";31;29;31;29;"3rd"
"PI";NA;NA;NA;NA;"3rd"
"PK2";49;48;49;47;"3rd"
"PL2";60;60;60;60;"3rd"
"PM";NA;NA;NA;NA;"3rd"
"PO";NA;NA;NA;NA;"3rd"
"PR2";34;32;34;33;"3rd"
"PS";9;8;8;8;"3rd"
"PT2";56;54;56;54;"3rd"
"PY2";34;31;34;32;"3rd"
"QA2";23;22;23;22;"3rd"
"RE1";17;16;17;16;"3rd"
"RI";0;0;0;0;"3rd"
"RO2";60;63;60;62;"3rd"
"RS1";37;35;37;36;"3rd"
"RU2";47;45;47;45;"3rd"
"RW1";0;0;0;0;"3rd"
"SA2";53;56;53;55;"3rd"
"SB1";2;3;2;2;"3rd"
"SC2";32;30;32;30;"3rd"
"SD2";26;24;26;24;"3rd"
"SE2";39;36;39;36;"3rd"
"SG2";28;28;28;28;"3rd"
"SH1";NA;NA;NA;NA;"3rd"
"SI2";47;46;47;47;"3rd"
"SJ";NA;NA;NA;NA;"3rd"
"SK2";52;51;52;51;"3rd"
"SL2";28;29;28;29;"3rd"
"SM2";41;42;41;42;"3rd"
"SN2";44;49;44;48;"3rd"
"SO1";0;0;0;0;"3rd"
"SP";NA;NA;NA;NA;"3rd"
"SR2";6;6;6;6;"3rd"
"ST2";NA;NA;NA;NA;"3rd"
"SU2";0;0;0;0;"3rd"
"SV2";17;15;16;16;"3rd"
"SX";8;8;8;8;"3rd"
"SY2";38;39;38;39;"3rd"
"SZ2";42;41;42;41;"3rd"
"TC1";14;14;15;14;"3rd"
"TD2";0;0;0;0;"3rd"
"TF";NA;NA;NA;NA;"3rd"
"TG1";9;7;9;7;"3rd"
"TH2";28;26;28;26;"3rd"
"TJ1";26;23;26;24;"3rd"
"TK1";0;0;0;0;"3rd"
"TM1";14;13;14;13;"3rd"
"TN2";46;46;46;46;"3rd"
"TO1";16;15;16;15;"3rd"
"TR2";40;36;40;37;"3rd"
"TT2";32;32;32;32;"3rd"
"TV1";0;0;0;0;"3rd"
"TW2";42;42;42;42;"3rd"
"TX";NA;NA;NA;NA;"3rd"
"TZ2";15;13;15;12;"3rd"
"UA2";48;49;48;48;"3rd"
"UC";NA;NA;NA;NA;"3rd"
"UD";NA;NA;NA;NA;"3rd"
"UE";NA;NA;NA;NA;"3rd"
"UG2";23;27;23;25;"3rd"
"UK2";42;38;42;38;"3rd"
"UM";NA;NA;NA;NA;"3rd"
"UR";0;0;0;0;"3rd"
"US2";50;45;50;44;"3rd"
"UT";0;0;0;0;"3rd"
"UX";NA;NA;NA;NA;"3rd"
"UY2";41;39;41;40;"3rd"
"UZ1";44;43;44;44;"3rd"
"VA2";0;0;0;0;"3rd"
"VC1";0;0;0;0;"3rd"
"VE2";26;24;26;24;"3rd"
"VG2";30;28;30;28;"3rd"
"VI1";0;0;0;0;"3rd"
"VN2";40;42;40;42;"3rd"
"VU1";1;1;1;1;"3rd"
"VZ";NA;NA;NA;NA;"3rd"
"WA";NA;NA;NA;NA;"3rd"
"WF";NA;NA;NA;NA;"3rd"
"WO1";NA;NA;NA;NA;"3rd"
"WS2";30;31;30;31;"3rd"
"XK";NA;NA;NA;NA;"3rd"
"XN";NA;NA;NA;NA;"3rd"
"XP";NA;NA;NA;NA;"3rd"
"YE2";27;27;27;27;"3rd"
"YS";0;0;0;0;"3rd"
"YU2";23;24;23;24;"3rd"
"ZA2";34;31;34;31;"3rd"
"ZJ";NA;NA;NA;NA;"3rd"
"ZM1";8;10;7;10;"3rd"
"ZW2";17;14;17;15;"3rd"
"ZZ";NA;NA;NA;NA;"3rd"
